,structure,basis set,method,error
0,CN,STO-3G,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
1,CN,STO-3G,PySCF_Setup,"Electron number 13 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
2,CN,cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
3,CN,cc-pVDZ,PySCF_Setup,"Electron number 13 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
4,CN,aug-cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
5,CN,aug-cc-pVDZ,PySCF_Setup,"Electron number 13 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
6,BO,STO-3G,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
7,BO,STO-3G,PySCF_Setup,"Electron number 13 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
8,BO,cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
9,BO,cc-pVDZ,PySCF_Setup,"Electron number 13 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
10,BO,aug-cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
11,BO,aug-cc-pVDZ,PySCF_Setup,"Electron number 13 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
12,CLi,STO-3G,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
13,CLi,STO-3G,PySCF_Setup,"Electron number 9 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
14,CLi,cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
15,CLi,cc-pVDZ,PySCF_Setup,"Electron number 9 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
16,CLi,aug-cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
17,CLi,aug-cc-pVDZ,PySCF_Setup,"Electron number 9 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
18,BeN,STO-3G,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
19,BeN,STO-3G,PySCF_Setup,"Electron number 11 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
20,BeN,cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
21,BeN,cc-pVDZ,PySCF_Setup,"Electron number 11 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
22,BeN,aug-cc-pVDZ,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
23,BeN,aug-cc-pVDZ,PySCF_Setup,"Electron number 11 and spin 0 are not consistent
Note mol.spin = 2S = Nalpha - Nbeta, not 2S+1"
24,BBe,STO-3G,Psi4_Setup,"
Fatal Error: RHF: RHF reference is only for singlets.
Error occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1746393050636/work/psi4/src/psi4/libscf_solver/rhf.cc on line: 92
The most recent 5 function calls were:

psi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)
"
