,structure,basis set,PySCF_Corr,Psi4_Corr,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
0,CN,STO-3G,,,,,,
1,CN,cc-pVDZ,,,,,,
2,CN,aug-cc-pVDZ,,,,,,
3,HN,STO-3G,-0.061979054475797164,-0.06197939297961289,0.008506866260828937,0.008506788105077651,1.0066036813885963,0.008506788105077651
4,HN,cc-pVDZ,-0.1537111975693161,-0.15371120847021008,0.015478309595547628,0.015478970961714245,0.4264806170734605,0.015478970961714245
5,HN,aug-cc-pVDZ,-0.1617697290686438,-0.16176971320320183,0.023044968617546752,0.02304520328621678,0.40408422051606974,0.02304520328621678
6,BO,STO-3G,,,,,,
7,BO,cc-pVDZ,,,,,,
8,BO,aug-cc-pVDZ,,,,,,
9,CLi,STO-3G,,,,,,
10,CLi,cc-pVDZ,,,,,,
11,CLi,aug-cc-pVDZ,,,,,,
12,BeN,STO-3G,,,,,,
13,BeN,cc-pVDZ,,,,,,
14,BeN,aug-cc-pVDZ,,,,,,
15,BBe,STO-3G,,,,,,
16,BBe,cc-pVDZ,,,,,,
17,BBe,aug-cc-pVDZ,,,,,,
18,LiO,STO-3G,,,,,,
19,LiO,cc-pVDZ,,,,,,
20,LiO,aug-cc-pVDZ,,,,,,
21,BLi,STO-3G,-0.08661131460665673,-0.08661132974151431,0.20319082694044696,0.2031912689331314,0.5154400559622321,0.2031912689331314
22,BLi,cc-pVDZ,-0.0952319884270201,-0.09513537588683599,0.08475059117409624,0.0852466032422466,0.39526259424699656,0.0852466032422466
23,BLi,aug-cc-pVDZ,-0.09717878580324871,-0.09712722756878817,0.07593873049498265,0.07614216105378904,0.3916485921745634,0.07614216105378904
24,CF,STO-3G,,,,,,
25,CF,cc-pVDZ,,,,,,
26,CF,aug-cc-pVDZ,,,,,,
27,CH,STO-3G,,,,,,
28,CH,cc-pVDZ,,,,,,
29,CH,aug-cc-pVDZ,,,,,,
30,BeF,STO-3G,,,,,,
31,BeF,cc-pVDZ,,,,,,
32,BeF,aug-cc-pVDZ,,,,,,
33,FH,STO-3G,-0.026439577067419985,-0.026439606150872687,0.01171584481669128,0.01171584235573517,0.1251031915139782,0.01171584235573517
