
Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:04:41 2025
Timers Off: Fri Jun  6 11:32:54 2025

Wall Time:     1693.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.133u      0.033s      0.046w     13 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.024w    184 calls
HF: Form core H                     :      0.033u      0.050s      0.023w     13 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w     13 calls
HF: Guess                           :      0.117u      0.600s      0.168w     13 calls
SAD Guess                           :      0.117u      0.583s      0.163w     13 calls
HF: Form G                          :      0.000u      0.000s      0.001w     78 calls
JK: D                               :      0.000u      0.000s      0.000w     78 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     78 calls
JK: JK                              :      0.000u      0.000s      0.001w     78 calls
PK computes JK                      :      0.000u      0.000s      0.000w     78 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     78 calls
HF: Form F                          :      0.017u      0.000s      0.003w     78 calls
HF: Form D                          :      0.000u      0.000s      0.000w     78 calls
HF: DIIS                            :      0.117u      0.017s      0.072w     65 calls
HF: Form C                          :      0.017u      0.000s      0.005w     65 calls
ccenergy                            :      0.083u      0.517s      0.381w      4 calls
F build                             :      0.017u      0.017s      0.005w     44 calls
Wmbej build                         :      0.000u      0.017s      0.005w     44 calls
C->Wmbej                            :      0.000u      0.017s      0.000w     44 calls
F->Wmbej                            :      0.000u      0.000s      0.003w     44 calls
E->Wmbej                            :      0.000u      0.000s      0.001w     44 calls
X->Wmbej                            :      0.000u      0.000s      0.001w     44 calls
Z                                   :      0.000u      0.000s      0.000w     44 calls
T2 Build                            :      0.000u      0.000s      0.010w     44 calls
BT2                                 :      0.000u      0.000s      0.003w     44 calls
ABCD:new                            :      0.000u      0.000s      0.002w     44 calls
ABCD:S                              :      0.000u      0.000s      0.000w     44 calls
ABCD:A                              :      0.000u      0.000s      0.000w     44 calls
ABCD:axpy                           :      0.000u      0.000s      0.001w     44 calls
FT2                                 :      0.000u      0.000s      0.001w     44 calls
WmbejT2                             :      0.000u      0.000s      0.002w     44 calls
CT2                                 :      0.000u      0.000s      0.003w     44 calls
CIWave: CIvect write                :      0.000u      0.000s      0.002w    408 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.008w   3120 calls
CIWave: s2                          :      0.000u      0.000s      0.002w     52 calls
CIWave: s3                          :      0.033u      0.000s      0.009w     52 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w      4 calls
CIWave: TPDM                        :      0.000u      0.000s      0.011w      4 calls
CIWave: TPDM Block                  :      0.000u      0.000s      0.011w      4 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.133u      0.033s      0.046w     13 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.021w    169 calls
HF: Form core H                     :      0.033u      0.050s      0.023w     13 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w     13 calls
HF: Guess                           :      0.117u      0.600s      0.168w     13 calls
| SAD Guess                         :      0.117u      0.583s      0.163w     13 calls
HF: Form G                          :      0.000u      0.000s      0.001w     78 calls
| JK: D                             :      0.000u      0.000s      0.000w     78 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     78 calls
| JK: JK                            :      0.000u      0.000s      0.001w     78 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     78 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     78 calls
HF: Form F                          :      0.017u      0.000s      0.003w     78 calls
HF: Form D                          :      0.000u      0.000s      0.000w     78 calls
HF: DIIS                            :      0.117u      0.017s      0.072w     65 calls
HF: Form C                          :      0.017u      0.000s      0.005w     65 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.002w     15 calls
ccenergy                            :      0.083u      0.517s      0.381w      4 calls
| F build                           :      0.017u      0.017s      0.005w     44 calls
| Wmbej build                       :      0.000u      0.017s      0.005w     44 calls
| | C->Wmbej                        :      0.000u      0.017s      0.000w     44 calls
