Name,L,Basis,Injection,Energy_NoRecovery,SubspaceDim_NoRecovery
(Z)-1-fluoroprop-1-ene,1,STO-3G,CCSD,-213.1164848780338,71289
(Z)-1-fluoroprop-1-ene,1,STO-3G,ML,-213.1164752283366,29929
(Z)-1-fluoroprop-1-ene,1,STO-3G,ML_exact,-213.1164694410016,39204
(Z)-1-fluoroprop-1-ene,1,STO-3G,MP2,-213.1164694409951,5929
(Z)-1-fluoroprop-1-ene,1,STO-3G,random,-213.1164694409951,25921
(Z)-1-fluoroprop-1-ene,1,STO-3G,zeroes,-213.1224085521517,42849
(Z)-1-fluoroprop-1-ene,1,aug-cc-pVDZ,CCSD,-215.9496901967572,20449
(Z)-1-fluoroprop-1-ene,1,aug-cc-pVDZ,ML,-215.9496926167412,40401
(Z)-1-fluoroprop-1-ene,1,aug-cc-pVDZ,ML_exact,-215.9496895916731,28900
(Z)-1-fluoroprop-1-ene,1,aug-cc-pVDZ,MP2,-215.949689683562,24025
(Z)-1-fluoroprop-1-ene,1,aug-cc-pVDZ,random,-215.9496903828841,36481
(Z)-1-fluoroprop-1-ene,1,aug-cc-pVDZ,zeroes,-215.9496981277792,70756
(Z)-1-fluoroprop-1-ene,1,cc-pVDZ,CCSD,-215.9369614435237,7569
(Z)-1-fluoroprop-1-ene,1,cc-pVDZ,ML,-215.9369786061116,15625
(Z)-1-fluoroprop-1-ene,1,cc-pVDZ,ML_exact,-215.9369612299852,11449
(Z)-1-fluoroprop-1-ene,1,cc-pVDZ,MP2,-215.9369891761019,12769
(Z)-1-fluoroprop-1-ene,1,cc-pVDZ,random,-215.9369612161992,22201
(Z)-1-fluoroprop-1-ene,1,cc-pVDZ,zeroes,-215.9417495838928,77284
(Z)-1-fluoroprop-1-ene,2,STO-3G,CCSD,-213.1164694409951,15625
(Z)-1-fluoroprop-1-ene,2,STO-3G,ML,-213.1164694409951,16129
(Z)-1-fluoroprop-1-ene,2,STO-3G,ML_exact,-213.1164694409951,21025
(Z)-1-fluoroprop-1-ene,2,STO-3G,MP2,-213.1164694409951,22201
(Z)-1-fluoroprop-1-ene,2,STO-3G,random,-213.1164694409951,14161
(Z)-1-fluoroprop-1-ene,2,STO-3G,zeroes,-213.1207690017034,52441
(Z)-1-fluoroprop-1-ene,2,aug-cc-pVDZ,CCSD,-215.949689591666,25921
(Z)-1-fluoroprop-1-ene,2,aug-cc-pVDZ,ML,-215.949689591666,12769
(Z)-1-fluoroprop-1-ene,2,aug-cc-pVDZ,ML_exact,-215.949689591666,17689
(Z)-1-fluoroprop-1-ene,2,aug-cc-pVDZ,MP2,-215.949689591666,13689
(Z)-1-fluoroprop-1-ene,2,aug-cc-pVDZ,random,-215.949689591666,17161
(Z)-1-fluoroprop-1-ene,2,aug-cc-pVDZ,zeroes,-215.9497216494451,49729
(Z)-1-fluoroprop-1-ene,2,cc-pVDZ,CCSD,-215.9369612161992,22201
(Z)-1-fluoroprop-1-ene,2,cc-pVDZ,ML,-215.9369612161992,11881
(Z)-1-fluoroprop-1-ene,2,cc-pVDZ,ML_exact,-215.9369612161992,11025
(Z)-1-fluoroprop-1-ene,2,cc-pVDZ,MP2,-215.9369612161992,7921
(Z)-1-fluoroprop-1-ene,2,cc-pVDZ,random,-215.9369612161992,14641
(Z)-1-fluoroprop-1-ene,2,cc-pVDZ,zeroes,-215.9394149244034,56644
(Z)-1-fluoroprop-1-ene,3,STO-3G,CCSD,-213.1164694409951,8649
(Z)-1-fluoroprop-1-ene,3,STO-3G,ML,-213.1164694409951,9801
(Z)-1-fluoroprop-1-ene,3,STO-3G,ML_exact,-213.1164694409951,15625
(Z)-1-fluoroprop-1-ene,3,STO-3G,MP2,-213.1164694409951,13689
(Z)-1-fluoroprop-1-ene,3,STO-3G,random,-213.1164694409951,9409
(Z)-1-fluoroprop-1-ene,3,STO-3G,zeroes,-213.1264433961168,68121
(Z)-1-fluoroprop-1-ene,3,aug-cc-pVDZ,CCSD,-215.949689591666,16129
(Z)-1-fluoroprop-1-ene,3,aug-cc-pVDZ,ML,-215.949689591666,21609
(Z)-1-fluoroprop-1-ene,3,aug-cc-pVDZ,ML_exact,-215.949689591666,14641
(Z)-1-fluoroprop-1-ene,3,aug-cc-pVDZ,MP2,-215.949689591666,16129
(Z)-1-fluoroprop-1-ene,3,aug-cc-pVDZ,random,-215.949689591666,16641
(Z)-1-fluoroprop-1-ene,3,aug-cc-pVDZ,zeroes,-215.9497100223322,66049
(Z)-1-fluoroprop-1-ene,3,cc-pVDZ,CCSD,-215.9369612161992,17161
(Z)-1-fluoroprop-1-ene,3,cc-pVDZ,ML,-215.9369612161992,11881
(Z)-1-fluoroprop-1-ene,3,cc-pVDZ,ML_exact,-215.9369612161992,12769
(Z)-1-fluoroprop-1-ene,3,cc-pVDZ,MP2,-215.9369612161992,22801
(Z)-1-fluoroprop-1-ene,3,cc-pVDZ,random,-215.9369612161992,15129
(Z)-1-fluoroprop-1-ene,3,cc-pVDZ,zeroes,-215.9399040800087,71824
