structure,basis set,PySCF_Corr,Psi4_Corr,Abs. Dev.,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
HLi,STO-3G,-0.02027592,-0.020275919,1.0263E-09,0.038928741,0.038928823275407747,0.15204491869252965,0.15204492090690552
FF,aug-cc-pVDZ,-0.437192806,-0.437192804,1.86758E-09,0.051552299,0.051552042516970056,0.3102787050775169,0.310278687
FF,STO-3G,-0.078442998,-0.078443001,3.25419E-09,0.016500123482148334,0.016500121,0.2580689930321362,0.2580690011507234
BF,STO-3G,-0.078625313,-0.078625309,3.91459E-09,0.068253407,0.068253271,0.24628187423582062,0.24628185763516974
BH,STO-3G,-0.057412084,-0.057412076,8.11179E-09,0.022013844,0.022013812199997044,0.2999341707290255,0.29993415757792485
HH,cc-pVDZ,-0.035044182,-0.035044173,9.478E-09,0.007856087,0.007856078,0.13305013418036388,0.1330500772032128
BB,aug-cc-pVDZ,-0.195947989,-0.195947999,1.03393E-08,0.098257329,0.098256041,0.5171984246621196,0.5171990572163262
BH,aug-cc-pVDZ,-0.091199644,-0.091199654,1.04111E-08,0.026390443,0.026390533527046338,0.3036474786404292,0.30364755943338284
HN,cc-pVDZ,-0.153711198,-0.153711208,1.09008E-08,0.015478309595543823,0.015478970963198824,0.4264806170734448,0.4264811691209057
LiLi,STO-3G,-0.028284734,-0.028284721,1.35889E-08,0.049553984143600245,0.049552874,0.306921564,0.30692127547885006
BeBe,STO-3G,-0.103107208,-0.103107193,1.48756E-08,0.032250887146851516,0.032251119,0.5059046566001458,0.5059046326488389
BLi,STO-3G,-0.086611315,-0.08661133,1.51348E-08,0.2031908269406616,0.2031912690481137,0.5154400559622604,0.5154401179207972
HN,aug-cc-pVDZ,-0.161769729,-0.161769713,1.58653E-08,0.023044969,0.023045203306612676,0.4040842205160663,0.4040827182311187
FN,STO-3G,-0.087020913,-0.08702093,1.69605E-08,0.095107963,0.095107709,0.47295212331251696,0.4729543226973617
BF,aug-cc-pVDZ,-0.284942888,-0.284942905,1.72543E-08,0.054299264175337474,0.054299355,0.3077944198057127,0.3077944888344326
CO,cc-pVDZ,-0.298372418,-0.2983724,1.7687E-08,0.061458025,0.061456596,0.2955261635626274,0.29552610660821493
BF,cc-pVDZ,-0.269359831,-0.269359849,1.80993E-08,0.055133588,0.05513195,0.2993761340606018,0.2993765811248526
OO,STO-3G,-0.14250299,-0.142502972,1.81431E-08,0.013501190277736589,0.013501153570359952,0.41165170759403213,0.41165299963002794
HH,aug-cc-pVDZ,-0.036186088,-0.036186108,2.00039E-08,0.007180004,0.007180563,0.1370135180164751,0.13701337474522324
NN,aug-cc-pVDZ,-0.32463921,-0.324639231,2.12002E-08,0.041350871479511664,0.041351051,0.3170268080872893,0.31702685245940515
FH,aug-cc-pVDZ,-0.22844435,-0.228444327,2.32697E-08,0.035472846,0.035472879,0.2011192739040221,0.20111922500673263
CC,cc-pVDZ,-0.316014464,-0.31601449,2.57593E-08,0.10858771111686259,0.10858696468933031,0.519125561,0.5191257851841365
NN,cc-pVDZ,-0.313679321,-0.313679349,2.79374E-08,0.037267146,0.037267210926217494,0.3090228769265728,0.30902294862117635
FH,STO-3G,-0.026439577,-0.026439606,2.90835E-08,0.011715844816713707,0.011715842355744443,0.12510319151397828,0.12510329754731983
CO,aug-cc-pVDZ,-0.310879483,-0.310879449,3.36874E-08,0.060546789949164986,0.060544757,0.30369628405288857,0.30369621420703746
BeO,STO-3G,-0.133121805,-0.133121763,4.20612E-08,0.23044094517309424,0.23043983983791172,0.3330493415907876,0.333049067
